case:concept:name,concept:name,time:timestamp
Case 57,Take in charge ticket,2010-11-02 14:56:13
Case 57,Resolve ticket,2010-11-02 15:39:05
Case 1672,Assign seriousness,2011-05-10 09:29:13
Case 1672,Take in charge ticket,2011-05-10 09:57:43
Case 1672,Wait,2011-05-10 15:41:06
Case 1672,Take in charge ticket,2011-05-11 09:41:54
Case 1672,Resolve ticket,2011-05-11 09:42:05
Case 625,Assign seriousness,2010-04-19 15:41:52
Case 625,Take in charge ticket,2010-04-20 07:20:23
Case 625,Resolve ticket,2010-04-22 14:28:57
Case 2631,Assign seriousness,2013-08-06 13:09:52
Case 2631,Take in charge ticket,2013-08-21 11:02:59
Case 2631,Wait,2013-08-21 15:07:50
Case 2631,Resolve ticket,2013-08-22 07:27:16
Case 1314,Assign seriousness,2013-08-26 08:26:39
Case 1314,Take in charge ticket,2013-08-26 09:57:27
Case 1314,Create SW anomaly,2013-08-27 13:06:08
Case 1314,Resolve ticket,2013-09-20 11:01:59
Case 838,Assign seriousness,2010-06-22 07:45:21
Case 838,Take in charge ticket,2010-06-22 07:54:46
Case 838,Resolve ticket,2010-07-30 09:30:47
Case 508,Assign seriousness,2012-02-23 13:43:24
Case 508,Take in charge ticket,2012-02-23 13:43:39
Case 508,Wait,2012-02-24 09:44:16
Case 508,Resolve ticket,2012-03-12 10:34:52
Case 2223,Assign seriousness,2010-11-15 13:29:45
Case 2223,Take in charge ticket,2010-11-25 09:35:13
Case 2223,Resolve ticket,2010-11-25 10:12:17
Case 2807,Assign seriousness,2010-10-25 14:50:44
Case 2807,Take in charge ticket,2010-10-25 15:43:17
Case 2807,Resolve ticket,2010-10-25 15:43:51
Case 2228,Assign seriousness,2013-02-22 11:30:51
Case 2228,Take in charge ticket,2013-03-12 08:02:08
Case 2228,Resolve ticket,2013-03-12 11:31:53
Case 1066,Assign seriousness,2012-05-24 09:32:06
Case 1066,Take in charge ticket,2012-05-25 09:42:28
Case 1066,Resolve ticket,2012-05-25 12:30:22
Case 1648,Assign seriousness,2011-04-28 15:16:01
Case 1648,Take in charge ticket,2011-04-29 16:48:49
Case 1648,Resolve ticket,2011-04-29 16:54:49
Case 591,Insert ticket,2010-05-05 12:56:02
Case 591,Assign seriousness,2010-05-05 14:39:36
Case 591,Take in charge ticket,2010-05-11 07:52:31
Case 591,Resolve ticket,2010-05-12 14:39:13
Case 1724,Assign seriousness,2011-02-21 15:08:16
Case 1724,Wait,2011-02-28 11:41:09
Case 1724,Take in charge ticket,2011-03-18 14:47:03
Case 1724,Wait,2011-03-18 14:47:11
Case 1724,Take in charge ticket,2011-03-23 11:12:52
Case 1724,Resolve ticket,2011-03-23 11:13:06
Case 1523,Assign seriousness,2010-07-06 12:34:55
Case 1523,Take in charge ticket,2010-07-09 09:04:12
Case 1523,Resolve ticket,2010-07-09 09:06:26
Case 2999,Assign seriousness,2010-09-20 08:56:44
Case 2999,Take in charge ticket,2010-09-20 08:59:23
Case 2999,Resolve ticket,2010-09-20 08:59:32
Case 2729,Assign seriousness,2012-05-07 09:48:29
Case 2729,Take in charge ticket,2012-05-07 09:48:48
Case 2729,Wait,2012-05-07 10:32:52
Case 2729,Resolve ticket,2012-05-07 10:50:02
Case 483,Assign seriousness,2012-08-08 07:26:16
Case 483,Take in charge ticket,2012-08-08 08:00:42
Case 483,Resolve ticket,2012-08-09 13:29:31
Case 2799,Assign seriousness,2012-02-15 11:19:41
Case 2799,Take in charge ticket,2012-02-29 10:00:04
Case 2799,Resolve ticket,2012-02-29 10:21:35
Case 231,Assign seriousness,2010-10-19 14:08:14
Case 231,Assign seriousness,2010-10-20 16:03:58
Case 231,Take in charge ticket,2010-10-20 16:04:16
Case 231,Resolve ticket,2010-10-21 08:26:29
Case 3020,Assign seriousness,2012-04-06 07:25:39
Case 3020,Take in charge ticket,2012-04-06 07:25:54
Case 3020,Resolve ticket,2012-04-06 08:05:32
Case 855,Assign seriousness,2011-09-09 08:08:04
Case 855,Take in charge ticket,2011-09-26 13:42:33
Case 855,Resolve ticket,2011-09-27 09:37:32
Case 1476,Assign seriousness,2011-04-12 07:54:12
Case 1476,Take in charge ticket,2011-04-13 09:26:02
Case 1476,Wait,2011-04-13 09:28:28
Case 1476,Take in charge ticket,2011-04-20 08:40:17
Case 1476,Resolve ticket,2011-04-20 08:40:30
Case 471,Assign seriousness,2011-05-24 08:27:52
Case 471,Take in charge ticket,2011-05-24 08:28:14
Case 471,Wait,2011-05-27 14:02:35
Case 471,Take in charge ticket,2011-06-03 13:21:28
Case 471,Resolve ticket,2011-06-03 13:21:36
Case 1380,Assign seriousness,2011-08-04 12:28:49
Case 1380,Take in charge ticket,2011-08-04 12:41:58
Case 1380,Wait,2011-08-04 15:14:40
Case 1380,Resolve ticket,2011-08-19 09:38:04
Case 345,Assign seriousness,2013-11-22 11:48:57
Case 345,Take in charge ticket,2013-11-25 08:11:48
Case 345,Resolve ticket,2013-12-10 08:13:28
Case 2333,Assign seriousness,2011-06-14 07:10:03
Case 2333,Take in charge ticket,2011-06-14 07:10:16
Case 2333,Take in charge ticket,2011-06-15 08:50:56
Case 2333,Take in charge ticket,2011-06-17 12:32:55
Case 2333,Resolve ticket,2011-06-17 12:33:02
Case 2370,Assign seriousness,2010-07-01 13:44:31
Case 2370,Take in charge ticket,2010-07-26 12:34:58
Case 2370,Resolve ticket,2010-07-26 12:35:29
Case 1112,Assign seriousness,2012-07-31 14:43:10
Case 1112,Take in charge ticket,2012-08-02 08:22:59
Case 1112,Wait,2012-08-14 10:57:41
Case 1112,Wait,2012-08-22 15:06:48
Case 1112,Resolve ticket,2012-09-06 14:38:27
Case 679,Assign seriousness,2013-01-18 11:03:03
Case 679,Take in charge ticket,2013-01-28 11:00:14
Case 679,Resolve ticket,2013-02-04 08:04:07
Case 2503,Assign seriousness,2011-01-03 09:47:14
Case 2503,Take in charge ticket,2011-01-03 16:48:11
Case 2503,Resolve ticket,2011-01-03 16:49:57
Case 2431,Assign seriousness,2012-08-14 13:15:22
Case 2431,Take in charge ticket,2012-08-14 13:15:55
Case 2431,Resolve ticket,2012-08-16 08:22:53
Case 238,Assign seriousness,2010-07-23 14:27:40
Case 238,Take in charge ticket,2010-07-27 07:36:36
Case 238,Resolve ticket,2010-07-27 07:37:32
Case 861,Assign seriousness,2011-01-13 17:03:47
Case 861,Assign seriousness,2011-01-28 17:43:23
Case 861,Take in charge ticket,2011-01-28 17:43:29
Case 861,Take in charge ticket,2011-02-04 16:50:59
Case 861,Resolve ticket,2011-02-04 16:52:44
Case 2687,Assign seriousness,2012-03-19 15:35:18
Case 2687,Take in charge ticket,2012-03-19 15:38:16
Case 2687,Resolve ticket,2012-03-20 09:52:51
Case 1675,Assign seriousness,2013-09-30 09:50:24
Case 1675,Take in charge ticket,2013-10-01 10:37:09
Case 1675,Resolve ticket,2013-10-16 09:49:47
Case 2210,Assign seriousness,2013-11-05 14:54:50
Case 2210,Take in charge ticket,2013-12-05 08:40:21
Case 2210,Resolve ticket,2013-12-05 09:29:34
Case 2124,Assign seriousness,2012-07-25 09:42:11
Case 2124,Resolve ticket,2012-07-25 09:44:03
Case 1036,Assign seriousness,2012-05-29 15:38:19
Case 1036,Take in charge ticket,2012-05-29 15:38:27
Case 1036,Wait,2012-05-30 14:35:37
Case 1036,Take in charge ticket,2012-05-30 15:32:51
Case 1036,Resolve ticket,2012-06-01 12:40:27
Case 1052,Assign seriousness,2011-02-03 14:26:08
Case 1052,Take in charge ticket,2011-02-03 16:19:25
Case 1052,Resolve ticket,2011-02-03 16:20:49
Case 2953,Assign seriousness,2010-09-21 14:28:40
Case 2953,Take in charge ticket,2010-09-21 14:30:18
Case 2953,Resolve ticket,2010-09-23 14:21:32
Case 2835,Assign seriousness,2010-06-23 14:49:42
Case 2835,Take in charge ticket,2010-06-23 16:46:09
Case 2835,Wait,2010-06-23 16:48:50
Case 2835,Take in charge ticket,2010-06-30 15:52:15
Case 2835,Resolve ticket,2010-06-30 15:52:21
Case 602,Assign seriousness,2012-05-02 07:17:26
Case 602,Take in charge ticket,2012-05-02 07:39:30
Case 602,Wait,2012-05-09 14:23:42
Case 602,Resolve ticket,2012-05-31 12:46:09
Case 2417,Assign seriousness,2013-06-17 15:50:28
Case 2417,Take in charge ticket,2013-06-17 15:53:17
Case 2417,Wait,2013-06-17 15:56:40
Case 2417,Require upgrade,2013-06-17 15:57:01
Case 2417,Resolve ticket,2013-07-05 15:51:47
Case 2125,Assign seriousness,2013-07-11 07:09:38
Case 2125,Take in charge ticket,2013-07-15 13:00:08
Case 2125,Wait,2013-07-16 08:43:14
Case 2125,Require upgrade,2013-08-20 06:50:36
Case 1362,Assign seriousness,2011-11-09 13:27:25
Case 1362,Take in charge ticket,2011-11-09 13:46:24
Case 1362,Resolve ticket,2011-11-10 08:57:19
Case 667,Assign seriousness,2011-02-24 08:14:49
Case 667,Take in charge ticket,2011-02-24 16:08:38
Case 667,Resolve ticket,2011-03-09 16:47:31
Case 2624,Assign seriousness,2010-04-21 15:25:43
Case 2624,Assign seriousness,2010-04-28 15:23:31
Case 2624,Take in charge ticket,2010-04-28 15:24:30
Case 2624,Resolve ticket,2010-05-10 07:59:14
Case 2045,Assign seriousness,2010-10-26 16:01:15
Case 2045,Take in charge ticket,2010-10-27 13:36:39
Case 2045,Resolve ticket,2010-10-27 13:46:55
Case 2944,Assign seriousness,2011-05-26 12:16:35
Case 2944,Take in charge ticket,2011-05-26 12:17:21
Case 2944,Wait,2011-05-27 10:45:22
Case 2944,Take in charge ticket,2011-06-21 07:27:00
Case 2944,Resolve ticket,2011-06-21 07:27:11
Case 1361,Assign seriousness,2011-05-04 12:44:15
Case 1361,Take in charge ticket,2011-05-04 12:44:29
Case 1361,Resolve ticket,2011-05-04 13:44:28
Case 814,Assign seriousness,2010-04-22 07:26:21
Case 814,Take in charge ticket,2010-05-17 15:39:01
Case 814,Resolve ticket,2010-05-17 15:39:10
Case 2142,Assign seriousness,2013-03-01 11:49:33
Case 2142,Take in charge ticket,2013-03-15 15:13:08
Case 2142,Resolve ticket,2013-03-18 14:04:01
Case 1095,Assign seriousness,2011-09-26 15:01:58
Case 1095,Assign seriousness,2011-09-28 15:28:26
Case 1095,Resolve ticket,2011-09-28 15:28:35
Case 835,Assign seriousness,2011-01-05 10:39:43
Case 835,Assign seriousness,2011-01-10 15:17:11
Case 835,Take in charge ticket,2011-01-10 15:17:17
Case 835,Resolve ticket,2011-01-21 09:34:44
Case 938,Assign seriousness,2012-07-26 07:12:09
Case 938,Take in charge ticket,2012-07-26 07:18:26
Case 938,Wait,2012-07-27 07:10:11
Case 938,Resolve ticket,2012-08-07 08:58:49
Case 2978,Assign seriousness,2012-04-11 09:07:00
Case 2978,Take in charge ticket,2012-04-11 12:21:13
Case 2978,Wait,2012-04-16 07:23:40
Case 2978,Resolve ticket,2012-04-16 12:54:21
Case 398,Assign seriousness,2012-01-25 08:03:28
Case 398,Take in charge ticket,2012-01-25 08:39:20
Case 398,Wait,2012-02-01 11:39:56
Case 398,Resolve ticket,2012-02-28 17:22:35
Case 1077,Assign seriousness,2010-09-01 15:21:14
Case 1077,Assign seriousness,2010-09-02 07:28:41
Case 1077,Take in charge ticket,2010-09-09 10:02:08
Case 1077,Resolve ticket,2010-09-09 10:18:11
Case 299,Assign seriousness,2013-08-06 09:33:42
Case 299,Take in charge ticket,2013-08-06 12:54:04
Case 299,Wait,2013-08-13 10:31:42
Case 299,Resolve ticket,2013-08-23 13:09:07
Case 1378,Assign seriousness,2011-08-29 14:09:34
Case 1378,Take in charge ticket,2011-08-31 07:53:54
Case 1378,Resolve ticket,2011-10-07 15:45:38
Case 112,Assign seriousness,2011-10-06 07:50:55
Case 112,Take in charge ticket,2011-10-07 14:03:47
Case 112,Resolve ticket,2011-10-14 14:44:32
Case 1069,Assign seriousness,2011-06-21 14:09:39
Case 1069,Take in charge ticket,2011-06-21 14:10:08
Case 1069,Resolve ticket,2011-06-21 14:10:56
Case 284,Assign seriousness,2011-11-08 08:24:00
Case 284,Take in charge ticket,2011-11-08 08:24:19
Case 284,Resolve ticket,2011-11-08 08:34:52
Case 105,Assign seriousness,2012-11-20 09:00:13
Case 105,Take in charge ticket,2012-11-26 16:42:13
Case 105,Wait,2012-11-30 09:01:21
Case 105,Resolve ticket,2012-12-07 16:04:16
Case 275,Assign seriousness,2010-06-08 12:44:14
Case 275,Take in charge ticket,2010-06-28 14:02:44
Case 275,Resolve ticket,2010-06-28 14:07:25
Case 1389,Assign seriousness,2011-12-28 08:25:32
Case 1389,Take in charge ticket,2011-12-28 08:25:43
Case 1389,Resolve ticket,2011-12-28 08:47:54
Case 2455,Assign seriousness,2012-08-13 10:45:48
Case 2455,Take in charge ticket,2012-08-13 10:46:22
Case 2455,Wait,2012-09-21 07:37:37
Case 2455,Resolve ticket,2012-09-21 10:55:27
Case 3029,Assign seriousness,2011-10-13 13:54:04
Case 3029,Take in charge ticket,2011-10-14 14:44:15
Case 3029,Resolve ticket,2011-10-14 15:26:53
Case 2143,Assign seriousness,2013-08-09 15:11:43
Case 2143,Take in charge ticket,2013-08-20 10:31:07
Case 2143,Require upgrade,2013-08-22 14:35:35
Case 2143,Resolve ticket,2013-09-20 10:54:58
Case 2472,Assign seriousness,2012-03-05 13:50:30
Case 2472,Take in charge ticket,2012-03-05 14:58:41
Case 2472,Resolve ticket,2012-03-05 15:30:54
Case 1579,Assign seriousness,2010-10-29 14:23:28
Case 1579,Take in charge ticket,2010-10-29 14:23:41
Case 1579,Resolve ticket,2010-10-29 14:23:49
Case 1415,Assign seriousness,2012-06-20 12:33:03
Case 1415,Take in charge ticket,2012-06-20 12:33:15
Case 1415,Resolve ticket,2012-06-25 09:25:22
Case 2316,Assign seriousness,2011-07-05 09:10:36
Case 2316,Assign seriousness,2011-07-05 10:03:00
Case 2316,Take in charge ticket,2011-07-06 10:55:31
Case 2316,Resolve ticket,2011-07-06 10:55:57
Case 2787,Assign seriousness,2012-03-13 11:08:36
Case 2787,Take in charge ticket,2012-03-13 11:08:47
Case 2787,Resolve ticket,2012-03-13 14:16:59
Case 2937,Assign seriousness,2011-01-24 09:11:48
Case 2937,Take in charge ticket,2011-01-24 10:13:51
Case 2937,Create SW anomaly,2011-01-24 10:14:18
Case 2937,Create SW anomaly,2011-01-24 11:19:22
Case 2937,Resolve ticket,2011-02-14 09:41:50
Case 2380,Assign seriousness,2012-09-18 15:18:05
Case 2380,Take in charge ticket,2012-09-19 10:00:15
Case 2380,Wait,2012-10-04 13:48:13
Case 2380,Take in charge ticket,2012-10-09 09:29:52
Case 2380,Resolve ticket,2012-10-09 09:32:21
Case 1933,Assign seriousness,2011-05-02 12:36:14
Case 1933,Take in charge ticket,2011-05-02 12:39:06
Case 1933,Take in charge ticket,2011-05-02 12:40:52
Case 1933,Resolve ticket,2011-05-02 13:32:09
Case 507,Assign seriousness,2013-08-26 15:23:16
Case 507,Take in charge ticket,2013-08-27 07:07:04
Case 507,Resolve ticket,2013-09-12 13:45:07
Case 513,Assign seriousness,2011-03-30 10:44:58
Case 513,Take in charge ticket,2011-03-30 10:45:26
Case 513,Resolve ticket,2011-04-04 08:35:45
Case 3034,Assign seriousness,2013-03-27 11:23:50
Case 3034,Take in charge ticket,2013-03-29 13:53:58
Case 3034,Wait,2013-03-29 16:28:16
Case 3034,Resolve ticket,2013-04-12 15:22:11
Case 461,Assign seriousness,2012-03-28 09:02:20
Case 461,Take in charge ticket,2012-03-28 09:49:03
Case 461,Wait,2012-03-30 07:52:33
Case 461,Resolve ticket,2012-04-16 08:48:18
Case 1352,Assign seriousness,2010-02-17 15:36:36
Case 1352,Take in charge ticket,2010-02-18 14:17:36
Case 1352,Resolve ticket,2010-02-18 14:17:42
Case 1331,Assign seriousness,2011-12-09 09:38:14
Case 1331,Take in charge ticket,2011-12-09 09:38:22
Case 1331,Resolve ticket,2011-12-14 09:09:36
Case 3060,Assign seriousness,2012-06-08 08:08:18
Case 3060,Take in charge ticket,2012-06-08 12:43:04
Case 3060,Resolve ticket,2012-06-12 07:31:42
Case 1649,Assign seriousness,2012-05-09 10:56:38
Case 1649,Take in charge ticket,2012-05-09 13:23:25
Case 1649,Resolve ticket,2012-05-09 14:29:37
Case 1776,Assign seriousness,2013-01-10 16:48:38
Case 1776,Take in charge ticket,2013-01-11 11:54:25
Case 1776,Resolve ticket,2013-02-06 16:38:02
Case 2374,Assign seriousness,2012-07-30 13:28:52
Case 2374,Take in charge ticket,2012-07-30 15:00:06
Case 2374,Resolve ticket,2012-07-30 15:00:24
Case 594,Assign seriousness,2013-11-28 09:39:07
Case 594,Take in charge ticket,2013-11-28 10:19:04
Case 594,Resolve ticket,2013-12-16 08:58:25
Case 2920,Assign seriousness,2010-09-24 13:17:14
Case 2920,Take in charge ticket,2010-09-24 13:31:12
Case 2920,Take in charge ticket,2010-09-24 13:31:58
Case 2920,Create SW anomaly,2010-09-30 08:25:46
Case 2920,Resolve ticket,2010-11-19 10:32:30
Case 633,Assign seriousness,2012-05-29 15:22:37
Case 633,Take in charge ticket,2012-05-30 07:16:49
Case 633,Resolve ticket,2012-06-01 07:55:25
Case 2066,Assign seriousness,2012-07-04 07:04:38
Case 2066,Resolve ticket,2012-07-04 07:13:24
Case 554,Assign seriousness,2013-02-14 15:55:56
Case 554,Resolve ticket,2013-03-18 15:57:40
Case 661,Insert ticket,2010-09-17 09:48:33
Case 661,Assign seriousness,2010-09-17 09:48:59
Case 661,Take in charge ticket,2010-09-17 09:49:26
Case 661,Resolve ticket,2010-09-17 09:49:39
Case 2922,Assign seriousness,2010-09-02 14:25:24
Case 2922,Take in charge ticket,2010-09-02 14:27:27
Case 2922,Resolve ticket,2010-09-02 14:28:29
Case 1015,Assign seriousness,2012-02-10 14:44:10
Case 1015,Take in charge ticket,2012-02-10 15:48:04
Case 1015,Resolve ticket,2012-02-15 11:07:17
Case 1199,Assign seriousness,2012-02-21 15:27:29
Case 1199,Take in charge ticket,2012-02-22 08:57:31
Case 1199,Resolve ticket,2012-02-22 10:17:46
Case 1565,Assign seriousness,2011-03-01 13:28:35
Case 1565,Take in charge ticket,2011-03-01 13:40:08
Case 1565,Resolve ticket,2011-03-03 11:08:15
Case 2886,Assign seriousness,2012-05-16 08:26:31
Case 2886,Take in charge ticket,2012-05-16 13:56:29
Case 2886,Resolve ticket,2012-05-16 15:07:54
Case 1969,Assign seriousness,2011-03-22 08:19:19
Case 1969,Take in charge ticket,2011-03-22 08:21:04
Case 1969,Resolve ticket,2011-03-23 14:40:45
Case 2419,Assign seriousness,2012-07-04 08:24:31
Case 2419,Take in charge ticket,2012-07-04 08:24:39
Case 2419,Wait,2012-07-06 07:22:57
Case 2419,Resolve ticket,2012-07-13 13:49:49
Case 2344,Assign seriousness,2012-03-05 10:08:35
Case 2344,Take in charge ticket,2012-03-05 13:31:38
Case 2344,Resolve ticket,2012-03-05 15:33:16
Case 1200,Assign seriousness,2011-06-08 13:51:32
Case 1200,Take in charge ticket,2011-06-09 07:07:27
Case 1200,Resolve ticket,2011-06-13 16:17:20
Case 2570,Assign seriousness,2010-03-25 11:44:07
Case 2570,Take in charge ticket,2010-03-25 11:44:16
Case 2570,Resolve ticket,2010-03-26 10:23:36
Case 2048,Assign seriousness,2011-01-24 09:59:18
Case 2048,Take in charge ticket,2011-02-04 08:57:07
Case 2048,Wait,2011-02-07 13:33:56
Case 2048,Take in charge ticket,2011-02-23 10:34:24
Case 2048,Resolve ticket,2011-02-23 14:03:40
Case 2152,Assign seriousness,2012-11-30 15:34:36
Case 2152,Take in charge ticket,2012-12-04 08:56:37
Case 2152,Wait,2012-12-10 08:25:36
Case 2152,Resolve ticket,2012-12-17 08:42:18
Case 2510,Assign seriousness,2011-08-05 13:22:11
Case 2510,Take in charge ticket,2011-08-09 07:13:03
Case 2510,Resolve ticket,2011-08-10 10:06:08
Case 2964,Assign seriousness,2013-01-30 08:55:30
Case 2964,Take in charge ticket,2013-02-15 08:16:39
Case 2964,Wait,2013-02-15 08:19:12
Case 2964,Resolve ticket,2013-02-25 13:42:58
Case 1401,Assign seriousness,2012-02-22 11:12:44
Case 1401,Take in charge ticket,2012-02-22 11:13:10
Case 1401,Wait,2012-02-22 11:30:21
Case 1401,Resolve ticket,2012-04-06 14:45:11
Case 2332,Assign seriousness,2011-04-06 15:38:51
Case 2332,Take in charge ticket,2011-04-06 15:39:03
Case 2332,Resolve ticket,2011-04-15 07:55:46
Case 2505,Assign seriousness,2011-03-01 11:06:21
Case 2505,Assign seriousness,2011-03-01 15:36:41
Case 2505,Take in charge ticket,2011-03-03 15:23:39
Case 2505,Wait,2011-03-03 16:30:50
Case 2505,Take in charge ticket,2011-03-04 09:19:52
Case 2505,Wait,2011-03-08 11:30:29
Case 2505,Take in charge ticket,2011-03-25 08:32:02
Case 2505,Resolve ticket,2011-03-25 08:32:17
Case 833,Insert ticket,2010-09-15 07:20:34
Case 833,Assign seriousness,2010-09-15 07:21:23
Case 833,Take in charge ticket,2010-09-15 07:21:35
Case 833,Resolve ticket,2010-09-15 07:21:55
Case 485,Assign seriousness,2011-07-01 10:24:56
Case 485,Assign seriousness,2011-07-01 10:38:06
Case 485,Take in charge ticket,2011-07-04 09:02:11
Case 485,Resolve ticket,2011-07-04 10:43:18
Case 2719,Assign seriousness,2012-05-14 12:59:38
Case 2719,Take in charge ticket,2012-05-14 12:59:50
Case 2719,Wait,2012-05-14 13:06:27
Case 2719,Resolve ticket,2012-05-25 07:35:47
Case 259,Assign seriousness,2010-03-23 08:10:15
Case 259,Assign seriousness,2010-03-24 08:39:07
Case 259,Take in charge ticket,2010-03-24 08:39:20
Case 259,Resolve ticket,2010-05-06 07:36:35
Case 2385,Assign seriousness,2011-01-18 14:22:33
Case 2385,Take in charge ticket,2011-01-20 11:20:17
Case 2385,Resolve ticket,2011-01-20 11:21:12
Case 119,Assign seriousness,2011-12-05 14:22:17
Case 119,Take in charge ticket,2011-12-05 14:58:56
Case 119,Resolve ticket,2011-12-13 09:22:04
Case 1974,Assign seriousness,2012-05-29 16:01:41
Case 1974,Take in charge ticket,2012-05-30 07:08:49
Case 1974,Resolve ticket,2012-05-30 08:15:17
Case 178,Assign seriousness,2012-02-22 14:49:43
Case 178,Take in charge ticket,2012-02-22 14:49:52
Case 178,Resolve ticket,2012-02-29 09:36:49
Case 2002,Assign seriousness,2012-05-14 09:34:55
Case 2002,Take in charge ticket,2012-05-14 09:35:26
Case 2002,Resolve ticket,2012-05-31 08:32:41
Case 276,Insert ticket,2010-03-30 15:58:20
Case 276,Assign seriousness,2010-03-30 15:58:35
Case 276,Take in charge ticket,2010-03-30 15:59:10
Case 276,Resolve ticket,2010-03-30 16:13:29
Case 1480,Assign seriousness,2011-10-06 14:29:43
Case 1480,Take in charge ticket,2011-10-06 14:32:23
Case 1480,Resolve ticket,2011-10-10 09:45:29
Case 1445,Assign seriousness,2013-10-31 10:31:10
Case 1445,Take in charge ticket,2013-10-31 14:48:35
Case 1445,Resolve ticket,2013-11-18 09:44:21
Case 2520,Assign seriousness,2010-10-21 07:52:10
Case 2520,Take in charge ticket,2010-10-21 07:53:57
Case 2520,Wait,2010-11-02 10:29:56
Case 2520,Take in charge ticket,2010-11-08 14:12:52
Case 2520,Resolve ticket,2010-11-08 14:13:09
Case 672,Assign seriousness,2011-01-13 10:59:41
Case 672,Assign seriousness,2011-01-27 08:24:52
Case 672,Take in charge ticket,2011-01-27 08:24:59
Case 672,Wait,2011-02-04 13:41:14
Case 672,Take in charge ticket,2011-02-10 09:17:14
Case 672,Resolve ticket,2011-02-10 09:17:37
Case 2391,Assign seriousness,2013-01-23 14:52:39
Case 2391,Take in charge ticket,2013-02-08 11:00:31
Case 2391,Resolve ticket,2013-02-21 14:57:18
Case 2814,Assign seriousness,2013-08-20 15:30:10
Case 2814,Take in charge ticket,2013-09-05 07:37:57
Case 2814,Resolve ticket,2013-09-05 12:41:28
Case 2796,Assign seriousness,2012-01-18 14:52:06
Case 2796,Take in charge ticket,2012-01-18 14:56:56
Case 2796,Resolve ticket,2012-01-25 10:56:57
Case 1577,Insert ticket,2013-04-24 09:56:51
Case 1577,Assign seriousness,2013-04-24 10:03:05
Case 1577,Assign seriousness,2013-04-26 08:08:24
Case 1577,Take in charge ticket,2013-04-29 08:44:36
Case 1577,Resolve ticket,2013-05-10 07:18:08
Case 1165,Assign seriousness,2010-09-15 07:50:56
Case 1165,Take in charge ticket,2010-09-15 07:51:39
Case 1165,Resolve ticket,2010-09-15 07:52:02
Case 2051,Assign seriousness,2010-07-23 15:38:41
Case 2051,Wait,2010-07-23 15:50:14
Case 2051,Take in charge ticket,2010-07-26 08:10:49
Case 2051,Wait,2010-07-26 08:11:02
Case 2051,Take in charge ticket,2010-07-26 10:01:07
Case 2051,Resolve ticket,2010-07-26 10:01:34
Case 2461,Assign seriousness,2012-01-30 15:40:16
Case 2461,Take in charge ticket,2012-01-31 08:44:19
Case 2461,Resolve ticket,2012-01-31 08:52:07
Case 512,Assign seriousness,2011-10-06 10:16:56
Case 512,Take in charge ticket,2011-10-11 13:11:42
Case 512,Wait,2011-10-13 14:29:37
Case 512,Resolve ticket,2011-10-17 15:21:14
Case 1290,Assign seriousness,2012-08-09 13:19:16
Case 1290,Take in charge ticket,2012-08-09 13:19:28
Case 1290,Resolve ticket,2012-08-09 13:22:59
Case 172,Assign seriousness,2010-09-16 16:02:20
Case 172,Take in charge ticket,2010-09-21 14:03:12
Case 172,Resolve ticket,2010-09-27 10:08:54
Case 2794,Assign seriousness,2011-10-28 08:49:47
Case 2794,Take in charge ticket,2011-10-28 08:50:08
Case 2794,Wait,2011-10-28 10:38:36
Case 2794,Resolve ticket,2011-11-16 15:12:54
Case 1604,Assign seriousness,2013-02-06 14:59:57
Case 1604,Take in charge ticket,2013-02-22 08:23:35
Case 1604,Wait,2013-02-22 13:46:07
Case 1604,Resolve ticket,2013-03-13 15:09:37
Case 260,Assign seriousness,2010-10-18 13:15:06
Case 260,Assign seriousness,2010-10-18 13:29:40
Case 260,Take in charge ticket,2010-10-19 10:17:06
Case 260,Resolve ticket,2010-11-15 13:47:26
Case 2299,Assign seriousness,2010-07-08 10:47:06
Case 2299,Take in charge ticket,2010-08-05 07:52:19
Case 2299,Resolve ticket,2010-08-05 12:40:44
Case 1798,Assign seriousness,2010-02-04 10:36:44
Case 1798,Take in charge ticket,2010-02-04 10:49:49
Case 1798,Create SW anomaly,2010-02-04 10:49:57
Case 1798,Resolve ticket,2010-03-16 15:09:50
Case 2779,Assign seriousness,2012-06-06 09:20:31
Case 2779,Take in charge ticket,2012-06-06 12:39:36
Case 2779,Resolve ticket,2012-07-02 09:40:39
Case 109,Assign seriousness,2010-09-24 15:35:31
Case 109,Take in charge ticket,2010-09-27 09:11:48
Case 109,Wait,2010-09-28 08:31:41
Case 109,Take in charge ticket,2010-11-08 09:33:36
Case 109,Resolve ticket,2010-11-08 09:33:57
Case 348,Assign seriousness,2013-02-06 14:55:39
Case 348,Take in charge ticket,2013-02-07 08:15:48
Case 348,Resolve ticket,2013-02-22 09:48:20
Case 3064,Assign seriousness,2012-01-20 09:10:34
Case 3064,Take in charge ticket,2012-01-20 14:06:37
Case 3064,Resolve ticket,2012-01-23 13:54:06
Case 2910,Assign seriousness,2013-07-02 07:19:50
Case 2910,Take in charge ticket,2013-07-04 10:27:20
Case 2910,Wait,2013-07-04 15:43:47
Case 2910,Resolve ticket,2013-07-19 12:53:42
Case 2289,Assign seriousness,2010-12-20 08:34:57
Case 2289,Take in charge ticket,2010-12-27 17:00:14
Case 2289,Resolve ticket,2011-01-20 10:46:32
Case 2433,Assign seriousness,2011-11-16 11:22:44
Case 2433,Resolve ticket,2011-11-16 11:24:12
Case 286,Assign seriousness,2013-04-29 07:33:38
